cell_id,area,perimeter,circularity
cell_morphology_clusters.png,88756.0,6286.987986159929,0.02821774630687401
cell_088.png,16257.0,860.9198769408944,0.2756289304600243
cell_063.png,16250.0,864.8843430349617,0.2729902643078085
cell_077.png,16255.0,817.4995667241114,0.3056481528630925
cell_076.png,16237.0,865.8132752230962,0.2721868714966623
cell_062.png,16231.0,888.1686142824235,0.25856176123715663
cell_089.png,16226.0,850.4701294725885,0.2819052773930176
cell_074.png,16244.0,883.6833329081851,0.2614023677795362
cell_060.png,16209.0,898.6244584051393,0.2522374786227692
cell_048.png,16245.0,860.2630226914019,0.2758462398267366
cell_049.png,16237.0,905.103643124968,0.24906862818064116
cell_061.png,16236.0,835.7066735052979,0.29213336834583176
cell_075.png,16188.0,995.3584771209069,0.20532603499382895
cell_059.png,16259.0,796.3218971944477,0.32220062528919
cell_071.png,16157.0,1098.2173875177027,0.1683425720059
cell_065.png,16220.0,904.239682094289,0.24928353240193946
cell_064.png,16201.0,968.6660889654819,0.21697190074769265
cell_070.png,16238.0,869.8132752230963,0.2697058321536416
cell_058.png,16245.0,853.3279938488577,0.2803480847478136
cell_099.png,16262.0,844.6061684419097,0.28646747688810875
cell_066.png,16207.0,936.76659402887,0.2320864075444491
cell_072.png,16252.0,823.8782463805518,0.30087811932738756
cell_073.png,16207.0,946.2163414971761,0.22747391789347834
cell_067.png,16233.0,854.677236253775,0.2792571996877748
cell_098.png,16223.0,886.2691193458119,0.2595432853315434
cell_000.png,16235.0,889.4467888754756,0.2578827031609863
cell_014.png,16255.0,858.4701294725886,0.27717015260734723
cell_028.png,16237.0,823.2213921310594,0.30108031369550287
cell_029.png,16244.0,830.9493141924173,0.29563359010755597
cell_015.png,16255.0,865.7127701597078,0.2725518850842355
cell_001.png,16201.0,994.193000900063,0.20597299464780855
cell_017.png,16211.0,912.5828278447966,0.24461049422152895
cell_003.png,16240.0,895.547293938864,0.25445959820017505
cell_002.png,16222.0,894.9615075012371,0.25451040840980393
cell_016.png,16206.0,920.0386719675123,0.24058776282200958
cell_012.png,16213.0,912.2396820942892,0.24482475399379047
cell_006.png,16178.0,1020.2285348059959,0.19531687305126266
cell_007.png,16220.0,883.6417023478424,0.2610407488091133
cell_013.png,16264.0,818.570634535977,0.3050176061445009
